responseid;submitdate;age;gender;nationality;familiar_curriculum;familiar_statutes;info_access_online;interest_classes;onboarding;onboarding_free_text;ed_agree_YN;mentor_YN;registrars_office;deans_office;docschool;phd_office;international_office;welcome_center;phd_union;staff_development;ft_house;service_non_above;SUPERVISOR_safe1;SUPERVISOR_safe2;SUPERVISOR_safe3;SUPERVISOR_safe4;SUPERVISOR_safe5;SUPERVISOR_commit1;SUPERVISOR_commit2;SUPERVISOR_commit3;SUPERVISOR_commit4;SUPERVISOR_reflect1;SUPERVISOR_reflect2;SUPERVISOR_reflect3;SUPERVISOR_model1;SUPERVISOR_model2;SUPERVISOR_model3;SUPERVISOR_feedback1;SUPERVISOR_feedback2;dual_supervision;supervision_free_text;nonrelevant_projects;external_collab;encourage_collab;TEAM_collab1;TEAM_collab2;TEAM_collab3;TEAM_comp1;TEAM_comp2;TEAM_comp3;INTEGRATE_group;INTEGRATE_institute;INTEGRATE_docschool;INTEGRATE_phd;INTEGRATE_uni;teaching_hours;lectures_YN;hours_contract;working_hours;CIRCUM_carechild;CIRCUM_careother;CIRCUM_health;CIRCUM_financial;CIRCUM_social;CIRCUM_life;CIRCUM_none;CIRCUM_notsay;CIRCUM_free_text;DEPRESS_1;DEPRESS_2;DEPRESS_3;DEPRESS_4;DEPRESS_5;DEPRESS_6;DEPRESS_7;ANXIETY_1;ANXIETY_2;ANXIETY_3;ANXIETY_4;ANXIETY_5;ANXIETY_6;ANXIETY_7;STRESS_1;STRESS_2;STRESS_3;STRESS_4;STRESS_5;STRESS_6;STRESS_7;harass_exp_YN;harass_nationality;harass_gender;harass_race;harass_age;harass_religion;harass_height;harass_weight;harass_physicalother;harass_sexualorient;harass_socoec;harass_disability;harass_notsay;harass_witness_YN;jobloss_threat;international_pressure;enrol;graduate;docschool_stud;employ_status;employ_status_other;free_text_end;time_spent;nationality_new
11;2024-12-12 00:02:46;29;Man;Germany;5;1;1;5;4;Lorem ipsum.;No unaware graduation;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;Yes;1;3;5;2;0;0;5;0;3;2;3;1;4;3;5;3;5;Equal;Lorem ipsum.;3;0;4;4;5;3;0;0;0;1;3;1;5;0;27;No;21-30;50;Yes;No;Yes;No;Yes;Yes;No;No;;3;0;0;1;1;3;3;3;0;1;0;1;1;1;0;1;2;0;1;3;2;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;;2023-07-28 13:44:29;2025-11-25 11:42:10;Chemistry;Personal funds;;Lorem ipsum.;1930;Germany
12;2024-11-18 15:57:28;29;Man;Germany;3;3;5;1;2;Lorem ipsum.;Yes year one;No unaware definition;No;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;1;3;2;1;5;0;2;5;0;2;2;1;3;3;3;4;2;Official;Lorem ipsum.;3;2;4;5;4;2;1;4;3;0;0;2;5;4;20;Yes;No employee;52;Yes;Yes;Yes;No;Yes;No;Yes;No;;2;3;3;3;3;1;3;0;3;0;1;2;3;0;1;2;1;2;0;3;1;No;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;;2019-03-07 14:40:20;2026-11-19 18:21:02;Mathematics and Scientific Computing;Scholarship;;Lorem ipsum.;936;Germany
13;2024-12-14 11:30:52;33;Woman;Austria;5;0;5;2;0;Lorem ipsum.;No unaware graduation;No unaware possibility;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;1;1;3;2;2;4;1;2;1;3;0;2;0;4;2;0;5;Official;Lorem ipsum.;5;3;4;1;1;2;0;2;0;4;2;2;4;0;16;No;<20;51;No;Yes;No;Yes;No;No;Yes;No;;0;3;0;2;2;1;3;1;2;3;0;3;1;1;3;1;2;0;1;0;0;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;Yes;;2023-03-23 21:55:11;2029-01-29 13:42:00;Information and Communications Engineering;Other;Lorem ipsum.;Lorem ipsum.;1698;Austria
14;2024-12-17 05:48:36;22;Man;Austria;0;4;2;5;0;Lorem ipsum.;No unaware existence;No unaware definition;No;No;No;No;Yes;Yes;Yes;Yes;No;No;4;0;2;2;2;4;0;3;4;0;5;3;3;2;4;2;3;Official;Lorem ipsum.;5;1;0;5;2;0;1;4;2;0;0;0;0;3;19;Yes;31-40;53;No;No;No;Yes;No;Yes;Yes;No;Lorem ipsum.;0;1;0;0;2;0;2;2;2;3;1;2;3;0;2;3;3;2;1;2;1;No;Yes;No;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;Yes;Yes;;2023-01-10 03:44:01;2028-02-13 16:06:47;Not say;Other;Lorem ipsum.;Lorem ipsum.;908;Austria
15;2024-11-27 04:41:32;40;Not say;Germany;0;4;3;0;3;Lorem ipsum.;No missing signature;No unaware possibility;Yes;No;Yes;Yes;Yes;Yes;No;No;No;Yes;4;0;2;0;1;2;1;0;0;1;3;2;3;2;4;3;5;Unofficial;Lorem ipsum.;3;1;0;2;2;5;1;0;2;3;5;5;2;2;3;No;31-40;44;Yes;No;Yes;No;No;No;No;No;Lorem ipsum.;2;2;1;3;3;0;3;3;1;2;3;2;1;3;1;3;1;0;1;0;1;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;;2023-11-16 05:40:23;2027-02-22 11:17:52;Biomedical Engineering;UnivAss;;Lorem ipsum.;1079;Germany
16;2024-11-30 12:43:44;27;Man;Austria;2;0;4;3;4;Lorem ipsum.;Yes more than one year;No unaware definition;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;1;5;1;3;1;0;1;0;4;4;0;5;1;5;4;1;4;Official;Lorem ipsum.;5;0;4;4;2;2;2;5;2;4;4;1;2;3;20;Yes;No employee;52;No;Yes;No;Yes;No;No;No;No;;0;1;1;2;1;1;2;1;1;3;3;2;0;2;3;3;0;1;2;0;3;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;;2021-12-19 11:51:45;2026-07-31 08:30:02;Physics;UnivAss;;Lorem ipsum.;1714;Austria
17;2024-12-13 16:38:35;34;Woman;Austria;0;3;4;4;5;Lorem ipsum.;Yes more than one year;No unaware definition;Yes;Yes;No;No;No;Yes;Yes;No;Yes;No;5;2;4;2;1;2;5;4;0;0;1;5;4;5;1;0;3;Unofficial;Lorem ipsum.;2;4;5;2;3;2;2;5;1;1;3;2;0;1;3;No;31-40;6;Yes;No;No;Yes;Yes;Yes;No;No;;0;1;3;1;1;1;0;3;0;0;3;3;0;0;1;1;1;0;3;3;3;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;;2020-11-21 20:23:27;2028-06-05 21:17:18;Civil Engineering Sciences;UnivAss;;Lorem ipsum.;614;Austria
18;2024-11-04 23:29:09;26;Not say;Austria;1;4;2;3;0;Lorem ipsum.;No year one;No conflict supervisor;No;Yes;No;Yes;No;No;No;No;Yes;No;0;0;2;1;4;1;2;2;0;4;4;1;1;5;5;3;4;Official;Lorem ipsum.;3;2;5;1;0;2;1;3;4;1;5;0;2;3;30;No;No employee;6;No;Yes;Yes;Yes;No;No;No;No;;3;0;2;1;2;0;3;3;3;2;3;3;2;1;0;0;2;1;2;1;1;No;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;;2021-03-25 03:13:40;2025-08-01 07:08:07;Chemistry;Other;Lorem ipsum.;Lorem ipsum.;1027;Austria
19;2024-11-20 11:42:38;24;Man;Germany;2;0;3;3;5;Lorem ipsum.;No unaware existence;No conflict supervisor;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;No;4;5;4;3;4;3;0;2;2;0;0;1;0;4;3;2;4;Equal;Lorem ipsum.;5;5;1;3;1;3;0;5;3;3;1;0;0;1;29;Yes;No employee;56;No;No;No;No;No;No;Yes;No;;2;3;3;3;1;3;1;0;2;0;3;3;0;1;2;1;1;1;0;0;0;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;;2022-02-26 14:24:20;2028-12-18 02:22:34;Mathematics and Scientific Computing;Personal funds;;Lorem ipsum.;1772;Germany
20;2024-12-19 13:32:33;31;Not say;Germany;1;0;1;3;0;Lorem ipsum.;No year one;No unaware possibility;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;0;3;4;4;5;3;4;0;3;3;1;4;5;4;0;3;5;Official;Lorem ipsum.;2;3;5;5;3;5;1;5;1;1;3;1;2;0;10;No;<20;20;No;No;No;Yes;Yes;Yes;Yes;No;;0;1;3;0;3;1;3;0;3;3;1;1;0;3;2;0;1;2;3;3;3;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;;2022-01-04 21:17:36;2025-02-04 18:06:14;Mechanical Engineering;Other;Lorem ipsum.;Lorem ipsum.;1623;Germany
21;2024-11-10 10:42:16;24;Other;Germany;4;2;5;3;1;Lorem ipsum.;Yes year one;No unaware possibility;No;No;Yes;Yes;No;No;No;No;No;Yes;2;5;0;5;3;2;1;5;4;2;0;4;0;2;5;1;5;Unofficial;Lorem ipsum.;2;0;2;1;2;4;0;1;0;0;5;2;2;5;23;Yes;No employee;11;No;No;Yes;No;No;Yes;Yes;No;;3;0;0;3;3;1;0;2;3;2;1;3;1;3;2;0;3;2;0;3;1;Yes;No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;;2018-04-20 14:10:01;2025-06-26 17:33:33;Mechanical Engineering;Other;Lorem ipsum.;Lorem ipsum.;536;Germany
22;2024-12-07 12:49:53;26;Woman;Germany;2;2;1;0;2;Lorem ipsum.;No missing signature;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;0;5;0;2;0;2;1;2;3;5;0;3;0;5;0;5;0;Official;Lorem ipsum.;2;4;1;3;2;2;5;0;3;0;4;2;4;2;17;Yes;<20;6;No;No;Yes;No;No;No;Yes;Yes;;2;1;1;3;2;0;2;3;2;0;0;3;2;0;2;0;2;3;3;1;1;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;;2018-09-20 01:52:16;2027-03-08 08:33:01;Chemical and Process Engineering;Other;Lorem ipsum.;Lorem ipsum.;1047;Germany
23;2024-11-05 20:36:37;21;Not say;International;3;2;1;0;0;Lorem ipsum.;Yes more than one year;Yes;No;No;Yes;No;No;No;Yes;No;No;Yes;1;0;4;5;3;1;1;3;4;2;2;2;3;5;2;1;5;Equal;Lorem ipsum.;5;0;4;5;5;3;5;1;5;2;3;1;5;1;19;No;31-40;54;No;Yes;Yes;No;No;Yes;No;No;Lorem ipsum.;0;1;0;2;2;0;1;0;1;2;2;0;0;0;0;0;2;2;2;0;3;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;Yes;2018-07-29 07:20:23;2025-02-20 16:24:49;Computer Science;Personal funds;;Lorem ipsum.;1692;International
24;2024-12-04 20:39:26;25;Not say;Germany;4;5;5;3;4;Lorem ipsum.;Yes year one;No need;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;4;4;0;0;5;2;4;4;2;2;4;5;5;2;0;3;3;Official;Lorem ipsum.;4;4;1;2;5;0;4;1;3;1;1;0;5;3;1;Yes;21-30;18;No;No;No;No;No;No;No;No;Lorem ipsum.;2;1;1;2;3;2;2;1;1;3;3;3;0;3;2;0;1;0;2;2;1;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;;2021-06-16 00:36:33;2027-10-30 04:19:10;Mathematics and Scientific Computing;UnivAss;;Lorem ipsum.;1247;Germany
25;2024-10-29 14:46:47;36;Woman;International;4;0;2;5;3;Lorem ipsum.;No unaware graduation;No need;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;2;1;3;0;5;4;4;4;3;3;1;3;4;4;5;2;3;Official;Lorem ipsum.;2;0;5;5;1;0;3;0;2;1;4;2;2;3;29;Yes;<20;10;Yes;Yes;No;Yes;No;No;Yes;Yes;Lorem ipsum.;3;3;3;2;1;1;1;0;3;3;2;2;1;0;2;0;0;1;1;3;3;No;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;2021-01-11 08:58:33;2025-03-20 12:15:19;Physics;Scholarship;;Lorem ipsum.;1567;International
26;2024-12-11 08:41:36;31;Not say;International;0;2;1;3;2;Lorem ipsum.;Yes more than one year;No need;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;2;2;3;0;5;4;4;3;3;3;4;4;1;5;2;3;2;Equal;Lorem ipsum.;2;5;3;1;5;3;5;3;3;1;2;4;2;1;9;Yes;31-40;3;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Lorem ipsum.;3;2;0;3;3;2;0;1;1;1;2;3;0;3;2;3;2;3;0;3;1;No;No;No;No;No;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;No;2018-02-14 21:40:45;2027-08-01 01:22:16;Information and Communications Engineering;ProjectAss TU;;Lorem ipsum.;1067;International
27;2024-12-08 04:39:18;20;Other;Germany;5;4;0;5;4;Lorem ipsum.;No missing signature;No unaware definition;No;Yes;Yes;Yes;Yes;No;No;No;Yes;No;3;5;2;1;0;1;5;2;3;2;2;4;2;4;3;2;1;Official;Lorem ipsum.;1;0;0;4;4;0;2;3;4;1;0;2;0;0;19;Yes;No employee;6;No;Yes;No;No;No;Yes;Yes;No;;3;2;3;0;3;3;3;0;3;1;2;3;1;2;0;0;1;0;1;0;1;Yes;Yes;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;Yes;;2019-06-14 21:03:46;2029-11-07 21:03:11;Computer Science;Scholarship;;Lorem ipsum.;794;Germany
28;2024-11-26 20:10:20;33;Not say;International;0;2;4;0;1;Lorem ipsum.;No missing signature;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;5;0;5;4;2;0;0;1;0;0;0;1;2;3;2;0;2;Official;Lorem ipsum.;1;1;3;2;2;0;3;0;1;2;5;2;4;2;8;No;31-40;31;Yes;Yes;Yes;No;No;Yes;No;No;;2;3;3;1;2;2;0;1;3;2;0;0;0;2;3;1;0;2;2;3;3;No;No;No;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;2022-09-30 07:30:19;2027-05-01 01:07:24;Civil Engineering Sciences;Scholarship;;Lorem ipsum.;674;International
29;2024-11-17 20:14:48;38;Other;International;4;5;4;1;0;Lorem ipsum.;No unaware existence;No unaware possibility;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;5;5;0;4;4;3;3;5;3;3;3;0;3;0;4;3;2;Equal;Lorem ipsum.;2;3;0;2;5;1;0;1;2;4;3;5;5;3;12;Yes;31-40;39;Yes;No;Yes;Yes;No;No;No;No;Lorem ipsum.;1;0;2;3;3;1;0;1;1;0;0;3;2;1;0;1;3;0;2;2;2;Yes;No;No;Yes;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;2021-02-03 21:18:08;2025-02-06 21:17:48;Physics;ProjectAss Center;;Lorem ipsum.;1513;International
30;2024-12-18 17:29:12;26;Man;Austria;2;0;0;0;1;Lorem ipsum.;No unaware graduation;No unaware possibility;Yes;Yes;Yes;No;No;No;Yes;Yes;No;Yes;2;3;0;1;5;3;1;0;1;4;0;0;0;3;2;3;4;Equal;Lorem ipsum.;4;2;2;2;2;1;2;5;3;4;3;1;0;0;2;Yes;No employee;33;No;No;No;No;No;Yes;No;Yes;Lorem ipsum.;0;0;1;1;0;2;0;2;1;0;1;1;2;1;0;3;2;1;3;3;0;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;2020-12-13 02:10:48;2024-08-01 12:23:26;Chemical and Process Engineering;ProjectAss Center;;Lorem ipsum.;1330;Austria
31;2024-11-26 20:07:53;21;Man;Germany;1;5;1;3;5;Lorem ipsum.;Yes year one;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;0;1;3;2;2;4;0;1;0;1;0;1;4;5;2;1;5;Equal;Lorem ipsum.;1;3;2;4;4;0;3;0;0;2;5;1;4;5;8;Yes;21-30;51;Yes;No;Yes;No;Yes;No;Yes;No;;1;1;3;3;1;1;2;0;2;0;3;3;3;1;1;0;2;3;2;0;3;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;;2019-08-08 13:33:04;2029-06-18 09:35:13;Physics;Personal funds;;Lorem ipsum.;550;Germany
32;2024-12-14 06:44:16;20;Other;International;1;5;2;0;0;Lorem ipsum.;Yes year one;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;3;2;4;2;2;0;3;5;1;2;5;5;0;0;5;1;4;Official;Lorem ipsum.;1;4;2;3;0;0;4;5;5;2;4;4;0;3;21;No;<20;45;Yes;Yes;Yes;No;Yes;Yes;No;Yes;;1;1;1;0;2;3;0;2;0;0;0;2;3;3;1;1;0;2;0;3;3;No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;2023-07-16 17:47:59;2029-05-09 03:54:49;Geosciences;Scholarship;;Lorem ipsum.;647;International
33;2024-11-05 18:49:19;23;Woman;Germany;4;3;5;5;2;Lorem ipsum.;Yes year one;No unaware definition;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;1;0;5;5;2;1;5;5;1;0;4;3;1;0;4;3;5;Equal;Lorem ipsum.;1;3;1;1;5;2;1;0;2;4;2;2;5;2;11;Yes;21-30;29;Yes;No;No;Yes;No;No;Yes;No;Lorem ipsum.;0;3;1;0;3;3;1;0;0;0;2;2;1;3;3;0;3;1;2;3;0;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;;2020-09-29 05:49:10;2025-02-17 05:19:52;Architecture;Other;Lorem ipsum.;Lorem ipsum.;1081;Germany
34;2024-11-07 13:03:22;37;Not say;Austria;3;4;2;2;3;Lorem ipsum.;Yes more than one year;No unaware definition;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;No;1;3;2;2;1;2;3;0;2;4;3;4;4;2;2;4;4;Unofficial;Lorem ipsum.;4;5;3;0;3;0;1;1;5;5;2;1;3;0;3;Yes;31-40;27;Yes;No;No;No;Yes;Yes;No;No;Lorem ipsum.;1;2;2;0;0;2;0;0;1;3;1;1;2;3;1;2;3;2;0;3;2;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;;2019-03-28 01:55:01;2026-07-11 10:03:04;Chemical and Process Engineering;Second job;;Lorem ipsum.;1369;Austria
